Estado,Partido,MR,RP,Legislatura,year
Aguascalientes,PRI,8,,XLIX,1974
Aguascalientes,PRI,11,,L,1977
Aguascalientes,PPS,,1,L,1977
Aguascalientes,PARM,,1,L,1977
Aguascalientes,PRI,12,,LI,1980
Aguascalientes,PAN,,,LI,1980
Aguascalientes,PST,,,LI,1980
Aguascalientes,PDM,,,LI,1980
Aguascalientes,PRI,12,,LII,1983
Aguascalientes,PAN,,,LII,1983
Aguascalientes,PST,,,LII,1983
Aguascalientes,PRI,12,,LIII,1986
Aguascalientes,PAN,,,LIII,1986
Aguascalientes,PDM,,,LIII,1986
Aguascalientes,PMS,,,LIII,1986
Aguascalientes,PRI,12,,LIV,1989
Aguascalientes,PAN,,,LIV,1989
Aguascalientes,PFCRN,,,LIV,1989
Aguascalientes,PRI,20,,LV,1992
Aguascalientes,PAN,,,LV,1992
Aguascalientes,PPS,,,LV,1992
Aguascalientes,PARM,,,LV,1992
Aguascalientes,PFCRN,,,LV,1992
Aguascalientes,PRD,,,LV,1992
Aguascalientes,PRI,9,,LVI,1995
Aguascalientes,PAN,9,,LVI,1995
Aguascalientes,PRD,,,LVI,1995
Aguascalientes,PT,,,LVI,1995
Aguascalientes,Local,,,LVI,1995
Aguascalientes,PRI,6,,LVII,1998
Aguascalientes,PAN,12,,LVII,1998
Aguascalientes,PRD,,,LVII,1998
Aguascalientes,PRI,,,LVIII,2001
Aguascalientes,PAN,,,LVIII,2001
Aguascalientes,PRD,,,LVIII,2001
Aguascalientes,PVEM,,,LVIII,2001
Aguascalientes,PT,,,LVIII,2001
Aguascalientes,PAN,7,,LVIII,2001
Aguascalientes,PRD,,,LVIII,2001
Aguascalientes,PRI,9,,LVIII,2001
Aguascalientes,PT,1,,LVIII,2001
Aguascalientes,PVEM,1,,LVIII,2001
Aguascalientes,CAC,3,,LIX,2004
Aguascalientes,CVA,,,LIX,2004
Aguascalientes,PAN,15,,LIX,2004
Aguascalientes,Convergencia,,,LX,2007
Aguascalientes,PAN,7,,LX,2007
Aguascalientes,PRD,,,LX,2007
Aguascalientes,PRI,11,,LX,2007
Aguascalientes,PVEM,,,LX,2007
Aguascalientes,Convergencia,,,LXI,2010
Aguascalientes,PAN,2,,LXI,2010
Aguascalientes,PNA,3,,LXI,2010
Aguascalientes,PRD,,,LXI,2010
Aguascalientes,PRI,12,,LXI,2010
Aguascalientes,PT,,,LXI,2010
Aguascalientes,PVEM,1,,LXI,2010
Aguascalientes,MC,,,LXII,2013
Aguascalientes,PAN,5,,LXII,2013
Aguascalientes,PNA,1,,LXII,2013
Aguascalientes,PRD,1,,LXII,2013
Aguascalientes,PRI,10,,LXII,2013
Aguascalientes,PT,,,LXII,2013
Aguascalientes,PVEM,1,,LXII,2013
Aguascalientes,Morena,,,LXIII,2016
Aguascalientes,PAN,11,,LXIII,2016
Aguascalientes,PNA,2,,LXIII,2016
Aguascalientes,PES,,,LXIII,2016
Aguascalientes,PRD,,,LXIII,2016
Aguascalientes,PRI,4,,LXIII,2016
Aguascalientes,PVEM,1,,LXIII,2016
Aguascalientes,PAN,12,,LXIV,2018
Aguascalientes,Morena,3,,LXIV,2018
Aguascalientes,PRI,,,LXIV,2018
Aguascalientes,PES,1,,LXIV,2018
Aguascalientes,PRD,1,,LXIV,2018
Aguascalientes,PVEM,,,LXIV,2018
Aguascalientes,MC,1,,LXIV,2018
Aguascalientes,PNA,,,LXIV,2018
Baja California,PRI,11,,VIII,1974
Baja California,PRI,11,,IX,1977
Baja California,PRI,12,,X,1980
Baja California,PAN,,,X,1980
Baja California,PCM,,,X,1980
Baja California,PRI,13,,XI,1983
Baja California,PST,,,XI,1983
Baja California,PPS,,,XI,1983
Baja California,PSUM,,,XI,1983
Baja California,PRI,14,,XII,1986
Baja California,PAN,1,,XII,1986
Baja California,PPS,,,XII,1986
Baja California,PSUM,,,XII,1986
Baja California,PFCRN,,,XII,1986
Baja California,PRI,6,,XIII,1989
Baja California,PAN,9,,XIII,1989
Baja California,PPS,,,XIII,1989
Baja California,PARM,,,XIII,1989
Baja California,PFCRN,,,XIII,1989
Baja California,PRD,,,XIII,1989
Baja California,PRI,7,,XIV,1992
Baja California,PAN,8,,XIV,1992
Baja California,PRD,,,XIV,1992
Baja California,PRI,4,,XV,1995
Baja California,PAN,11,,XV,1995
Baja California,PRD,,,XV,1995
Baja California,PRI,5,,XVI,1998
Baja California,PAN,11,,XVI,1998
Baja California,PRD,,,XVI,1998
Baja California,PAN,12,,XVII,2001
Baja California,PRD,,,XVII,2001
Baja California,PRI,3,,XVII,2001
Baja California,PVEM,1,,XVII,2001
Baja California,PAN,12,,XVIII,2004
Baja California,PEBC,1,,XVIII,2004
Baja California,PRD,1,,XVIII,2004
Baja California,PRI,7,,XVIII,2004
Baja California,PVEM,,,XVIII,2004
Baja California,PAN,12,,XIX,2007
Baja California,PES,1,,XIX,2007
Baja California,PNA,2,,XIX,2007
Baja California,PRD,1,,XIX,2007
Baja California,PRI,6,,XIX,2007
Baja California,PVEM,,,XIX,2007
Baja California,PAN,2,,XX,2010
Baja California,PEBC,,,XX,2010
Baja California,PNA,1,,XX,2010
Baja California,PRD,,,XX,2010
Baja California,PRI,11,,XX,2010
Baja California,PVEM,2,,XX,2010
Baja California,MC,,,XXI,2013
Baja California,PAN,6,,XXI,2013
Baja California,PEBC,2,,XXI,2013
Baja California,PES,1,,XXI,2013
Baja California,PNA,2,,XXI,2013
Baja California,PRD,1,,XXI,2013
Baja California,PRI,3,,XXI,2013
Baja California,PT,1,,XXI,2013
Baja California,PVEM,1,,XXI,2013
Baja California,PAN,12,,XXII,2016
Baja California,Morena,1,,XXII,2016
Baja California,PRD,,,XXII,2016
Baja California,PT,1,,XXII,2016
Baja California,PBC,,,XXII,2016
Baja California,Transformemos,,,XXII,2016
Baja California,MC,,,XXII,2016
Baja California,PRI,3,,XXII,2016
Baja California,Morena,13,,XXIII,2019
Baja California,PT,2,,XXIII,2019
Baja California,PAN,,,XXIII,2019
Baja California,MC,,,XXIII,2019
Baja California,PRD,,,XXIII,2019
Baja California,PRI,,,XXIII,2019
Baja California,Transformemos,1,,XXIII,2019
Baja California,PBR,,,XXIII,2019
Baja California,PVEM,1,,XXIII,2019
Baja California,IND,,,XXIII,2019
Baja California Sur,PRI,7,,I,1975
Baja California Sur,PPS,,1,I,1975
Baja California Sur,PRI,7,,II,1978
Baja California Sur,PPS,,1,II,1978
Baja California Sur,PRI,8,,III,1981
Baja California Sur,PAN,,,III,1981
Baja California Sur,PSUM,,,III,1981
Baja California Sur,PRI,10,,IV,1984
Baja California Sur,PAN,,,IV,1984
Baja California Sur,PSUM,,,IV,1984
Baja California Sur,PRI,12,,V,1987
Baja California Sur,PAN,,,V,1987
Baja California Sur,PSUM,,,V,1987
Baja California Sur,PRI,15,,VI,1990
Baja California Sur,PAN,,,VI,1990
Baja California Sur,PRI,8,,VII,1993
Baja California Sur,PAN,7,,VII,1993
Baja California Sur,PRI,11,,VIII,1996
Baja California Sur,PAN,4,,VIII,1996
Baja California Sur,PRD,,,VIII,1996
Baja California Sur,PT,,,VIII,1996
Baja California Sur,PRI,2,,IX,1999
Baja California Sur,PAN,1,,IX,1999
Baja California Sur,PRD,10,,IX,1999
Baja California Sur,PT,2,,IX,1999
Baja California Sur,PAN,,,X,2002
Baja California Sur,PAS,,,X,2002
Baja California Sur,PRD-PT,11,,X,2002
Baja California Sur,PRI,4,,X,2002
Baja California Sur,PVEM,,,X,2002
Baja California Sur,PAN,,,XI,2005
Baja California Sur,PRI,,,XI,2005
Baja California Sur,PRD,15,,XI,2005
Baja California Sur,PVEM,,,XI,2005
Baja California Sur,Convergencia,,,XI,2005
Baja California Sur,MRPS,,,XII,2008
Baja California Sur,PAN,,,XII,2008
Baja California Sur,PNA,1,,XII,2008
Baja California Sur,PRD - PT - CONVERGENCIA,14,,XII,2008
Baja California Sur,PRI,1,,XII,2008
Baja California Sur,CONVERGENCIA,,,XIII,2011
Baja California Sur,PAN,7,,XIII,2011
Baja California Sur,PNA,,,XIII,2011
Baja California Sur,PRD,3,,XIII,2011
Baja California Sur,PRI,4,,XIII,2011
Baja California Sur,PRS,2,,XIII,2011
Baja California Sur,Morena,,,XIV,2015
Baja California Sur,PAN,7,,XIV,2015
Baja California Sur,PRD,,,XIV,2015
Baja California Sur,PRI,1,,XIV,2015
Baja California Sur,PRS,8,,XIV,2015
Baja California Sur,PT,,,XIV,2015
Baja California Sur,Morena,9,,XV,2018
Baja California Sur,PAN,,,XV,2018
Baja California Sur,PES,6,,XV,2018
Baja California Sur,PHBCS,,,XV,2018
Baja California Sur,PRD,,,XV,2018
Baja California Sur,PRI,,,XV,2018
Baja California Sur,PRS,1,,XV,2018
