partido,principio,legis,year
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PAN,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,MR,LVIII,2001
PVEM,MR,LVIII,2001
PRI,MR,LVIII,2001
PT,MR,LVIII,2001
PRI,MR,LVIII,2001
PRI,RP,LVIII,2001
PRI,RP,LVIII,2001
PRI,RP,LVIII,2001
PAN,RP,LVIII,2001
PAN,RP,LVIII,2001
PAN,RP,LVIII,2001
PVEM,RP,LVIII,2001
PT,RP,LVIII,2001
PRD,RP,LVIII,2001
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
CAC,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
CAC,MR,LIX,2004
CAC,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,MR,LIX,2004
PAN,RP,LIX,2004
CVA,RP,LIX,2004
CAC,RP,LIX,2004
PAN,RP,LIX,2004
PAN,RP,LIX,2004
CVA,RP,LIX,2004
CAC,RP,LIX,2004
CAC,RP,LIX,2004
CAC,RP,LIX,2004
PAN,MR,LX,2007
PRI,MR,LX,2007
PAN,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PAN,MR,LX,2007
PRI,MR,LX,2007
PAN,MR,LX,2007
PAN,MR,LX,2007
PAN,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PAN,MR,LX,2007
PRI,MR,LX,2007
PRI,MR,LX,2007
PRI,RP,LX,2007
CONV,RP,LX,2007
PRI,RP,LX,2007
PAN,RP,LX,2007
PAN,RP,LX,2007
PVEM,RP,LX,2007
PRD,RP,LX,2007
PRI,RP,LX,2007
CONV,RP,LX,2007
