"PARTIDO","legis","year","RP","MR"
"CONV","LXI",2010,1,NA
"MC","LXII",2013,1,NA
"MORENA","LXIII",2016,1,NA
"PAN","LXI",2010,2,2
"PAN","LXII",2013,2,5
"PAN","LXIII",2016,2,11
"PANAL","LXI",2010,1,3
"PANAL","LXII",2013,1,1
"PANAL","LXIII",2016,1,2
"PES","LXIII",2016,1,NA
"PRD","LXII",2013,1,1
"PRD","LXI",2010,1,NA
"PRD","LXIII",2016,1,NA
"PRI","LXI",2010,2,12
"PRI","LXII",2013,2,10
"PRI","LXIII",2016,2,4
"PT","LXI",2010,1,NA
"PT","LXII",2013,1,NA
"PVEM","LXI",2010,1,1
"PVEM","LXII",2013,1,1
"PVEM","LXIII",2016,1,1
