partido,principio,legis,year
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PRI,MR,XVI,2001
PRI,MR,XVI,2001
PRI,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PAN,MR,XVI,2001
PRI,MR,XVI,2001
PRI,MR,XVI,2001
PRI,RP,XVI,2001
PRI,RP,XVI,2001
PRD,RP,XVI,2001
PRI,RP,XVI,2001
PRI,RP,XVI,2001
PRI,RP,XVI,2001
PRI,RP,XVI,2001
PRD,RP,XVI,2001
PRD,RP,XVI,2001
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PRI,MR,XVII,2004
PRI,MR,XVII,2004
PRI,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PAN,MR,XVII,2004
PVEM,MR,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRI,RP,XVII,2004
PRD,RP,XVII,2004
PRD,RP,XVII,2004
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PAN,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRI,MR,XVIII,2007
PRD,MR,XVIII,2007
PRI,RP,XVIII,2007
PRI,RP,XVIII,2007
PRD,RP,XVIII,2007
PVEM,RP,XVIII,2007
PEBC,MR,XVIII,2007
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PAN,MR,XIX,2010
PRI,MR,XIX,2010
PRI,MR,XIX,2010
PRI,MR,XIX,2010
PRI,MR,XIX,2010
PRI,MR,XIX,2010
PRI,MR,XIX,2010
PRI,RP,XIX,2010
PRI,RP,XIX,2010
PVEM,RP,XIX,2010
PNA,MR,XIX,2010
PNA,MR,XIX,2010
PES,MR,XIX,2010
PRD,MR,XIX,2010
PVEM,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PAN,MR,XX,2013
PANAL,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PVEM,MR,XX,2013
PRI,MR,XX,2013
PAN,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PRI,MR,XX,2013
PRI,RP,XX,2013
PEBC,RP,XX,2013
PRD,RP,XX,2013
PAN,RP,XX,2013
PRD,RP,XX,2013
PAN,RP,XX,2013
PAN,RP,XX,2013
PANAL,RP,XX,2013
PAN,RP,XX,2013
PEBC,MR,XXI,2016
PAN,MR,XXI,2016
PAN,MR,XXI,2016
PAN,MR,XXI,2016
PANAL,MR,XXI,2016
PRI,MR,XXI,2016
PAN,MR,XXI,2016
PVEM,MR,XXI,2016
PRI,MR,XXI,2016
PAN,MR,XXI,2016
PAN,MR,XXI,2016
PRD,MR,XXI,2016
PANAL,MR,XXI,2016
PT,MR,XXI,2016
PRI,MR,XXI,2016
PES,MR,XXI,2016
PEBC,MR,XXI,2016
PAN,RP,XXI,2016
PRI,RP,XXI,2016
MC,RP,XXI,2016
PT,RP,XXI,2016
PAN,RP,XXI,2016
PRI,RP,XXI,2016
PRI,RP,XXI,2016
MC,RP,XXI,2016
