partido,prin,year,legis,estado
PRI,,2010,LXIV,Chiapas
PRI,VII,2010,LXIV,Chiapas
PRI,XIII,2010,LXIV,Chiapas
PRI,XVIII,2010,LXIV,Chiapas
PRI,XXIII,2010,LXIV,Chiapas
PRI,,2010,LXIV,Chiapas
PRI,,2010,LXIV,Chiapas
PRI,,2010,LXIV,Chiapas
PRI,,2010,LXIV,Chiapas
PRI,XXII,2010,LXIV,Chiapas
PRI,XXI,2010,LXIV,Chiapas
PRI,X,2010,LXIV,Chiapas
PRD,I,2010,LXIV,Chiapas
PRD,V,2010,LXIV,Chiapas
PRD,IX,2010,LXIV,Chiapas
PRD,XI,2010,LXIV,Chiapas
PRD,XIV,2010,LXIV,Chiapas
PRD,XVII,2010,LXIV,Chiapas
PRD,,2010,LXIV,Chiapas
PRD,,2010,LXIV,Chiapas
PAN,III,2010,LXIV,Chiapas
PAN,II,2010,LXIV,Chiapas
PAN,XII,2010,LXIV,Chiapas
PAN,XV,2010,LXIV,Chiapas
PAN,XVI,2010,LXIV,Chiapas
PAN,XIX,2010,LXIV,Chiapas
PAN,XXIV,2010,LXIV,Chiapas
PAN,,2010,LXIV,Chiapas
PVEM,,2010,LXIV,Chiapas
PVEM,VI,2010,LXIV,Chiapas
PVEM,VIII,2010,LXIV,Chiapas
PVEM,,2010,LXIV,Chiapas
PVEM,,2010,LXIV,Chiapas
PVEM,XX,2010,LXIV,Chiapas
PT,,2010,LXIV,Chiapas
PT,,2010,LXIV,Chiapas
PT,,2010,LXIV,Chiapas
PANAL,IV,2010,LXIV,Chiapas
PANAL,,2010,LXIV,Chiapas
CONV,,2010,LXIV,Chiapas
PVEM,I,2007,LXIII,Chiapas
PRD,II,2007,LXIII,Chiapas
PAN,III,2007,LXIII,Chiapas
PRD,IV,2007,LXIII,Chiapas
PRI,V,2007,LXIII,Chiapas
PVEM,VI,2007,LXIII,Chiapas
PRI,VII,2007,LXIII,Chiapas
PT,VIII,2007,LXIII,Chiapas
PRD,IX,2007,LXIII,Chiapas
PRD,X,2007,LXIII,Chiapas
PRI,XI,2007,LXIII,Chiapas
PRI,XII,2007,LXIII,Chiapas
PAN,XIII,2007,LXIII,Chiapas
PRD,XIV,2007,LXIII,Chiapas
PNA,XV,2007,LXIII,Chiapas
PAN,XVI,2007,LXIII,Chiapas
PRD,XVII,2007,LXIII,Chiapas
PRI,XVIII,2007,LXIII,Chiapas
PRI,XIX,2007,LXIII,Chiapas
PRD,XX,2007,LXIII,Chiapas
PRI,XXI,2007,LXIII,Chiapas
PRI,XXII,2007,LXIII,Chiapas
PRI,XXIII,2007,LXIII,Chiapas
PRI,XXIV,2007,LXIII,Chiapas
PAN,,2007,LXIII,Chiapas
PAN,,2007,LXIII,Chiapas
PAN,,2007,LXIII,Chiapas
PRI,,2007,LXIII,Chiapas
PRI,,2007,LXIII,Chiapas
PRI,,2007,LXIII,Chiapas
PRI,,2007,LXIII,Chiapas
PRI,,2007,LXIII,Chiapas
PRD,,2007,LXIII,Chiapas
PT,,2007,LXIII,Chiapas
PRD,,2007,LXIII,Chiapas
PRD,,2007,LXIII,Chiapas
PT,,2007,LXIII,Chiapas
PVEM,,2007,LXIII,Chiapas
CONV,,2007,LXIII,Chiapas
PNA,,2007,LXIII,Chiapas
PRI,XXII,2004,LXII,Chiapas
PRI,V,2004,LXII,Chiapas
PRI,XXI,2004,LXII,Chiapas
PRI,XXIV,2004,LXII,Chiapas
PRI,VII,2004,LXII,Chiapas
PRI,X,2004,LXII,Chiapas
PRI,VI,2004,LXII,Chiapas
PRI,XVII,2004,LXII,Chiapas
PRI,I,2004,LXII,Chiapas
PRI,III,2004,LXII,Chiapas
PT,VIII,2004,LXII,Chiapas
PVEM,II,2004,LXII,Chiapas
PAN,XI,2004,LXII,Chiapas
PAN,XV,2004,LXII,Chiapas
PAN,XIX,2004,LXII,Chiapas
PAN,XII,2004,LXII,Chiapas
PAN,XVI,2004,LXII,Chiapas
PRD,IV,2004,LXII,Chiapas
PRD,XIV,2004,LXII,Chiapas
PRD,XX,2004,LXII,Chiapas
PRD,IX,2004,LXII,Chiapas
PRD,XVIII,2004,LXII,Chiapas
PRD,XXIII,2004,LXII,Chiapas
PAN,,2004,LXII,Chiapas
PAN,,2004,LXII,Chiapas
PAN,,2004,LXII,Chiapas
Convergencia,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PRI,,2004,LXII,Chiapas
PT,,2004,LXII,Chiapas
PVEM,,2004,LXII,Chiapas
PVEM,,2004,LXII,Chiapas
PRI,I,2001,LXI,Chiapas
PAN,II,2001,LXI,Chiapas
PRI,III,2001,LXI,Chiapas
PRI,IV,2001,LXI,Chiapas
PRI,V,2001,LXI,Chiapas
PRI,VI,2001,LXI,Chiapas
PRI,VII,2001,LXI,Chiapas
PRI,VIII,2001,LXI,Chiapas
PRI,IX,2001,LXI,Chiapas
PRI,X,2001,LXI,Chiapas
PRI,XI,2001,LXI,Chiapas
PRI,XIII,2001,LXI,Chiapas
PRI,XIII,2001,LXI,Chiapas
PRD,XIV,2001,LXI,Chiapas
PRI,XV,2001,LXI,Chiapas
PRI,XVI,2001,LXI,Chiapas
PRI,XVII,2001,LXI,Chiapas
PRI,XVIII,2001,LXI,Chiapas
PRI,XIX,2001,LXI,Chiapas
PRD,XX,2001,LXI,Chiapas
PRI,XXI,2001,LXI,Chiapas
PRI,XXII,2001,LXI,Chiapas
PRI,XXIII,2001,LXI,Chiapas
PRI,XXIV,2001,LXI,Chiapas
PAN,,2001,LXI,Chiapas
PAN,,2001,LXI,Chiapas
PAN,,2001,LXI,Chiapas
PAN,,2001,LXI,Chiapas
PRI,,2001,LXI,Chiapas
PRI,,2001,LXI,Chiapas
PRI,,2001,LXI,Chiapas
PRD,,2001,LXI,Chiapas
PRD,,2001,LXI,Chiapas
PRD,,2001,LXI,Chiapas
PRD,,2001,LXI,Chiapas
PRD,,2001,LXI,Chiapas
PT,,2001,LXI,Chiapas
PT,,2001,LXI,Chiapas
PVEM,,2001,LXI,Chiapas
PAS,,2001,LXI,Chiapas
PRD,I,2013,LXIV,Chihuahua
PRI,II,2013,LXIV,Chihuahua
PRI,III,2013,LXIV,Chihuahua
PVEM,IV,2013,LXIV,Chihuahua
PRI,V,2013,LXIV,Chihuahua
PRI,VI,2013,LXIV,Chihuahua
PRI,VII,2013,LXIV,Chihuahua
PRI,VIII,2013,LXIV,Chihuahua
PRI,IX,2013,LXIV,Chihuahua
PRI,X,2013,LXIV,Chihuahua
PRI,XI,2013,LXIV,Chihuahua
PRI,XII,2013,LXIV,Chihuahua
PAN,XIII,2013,LXIV,Chihuahua
PRI,XIV,2013,LXIV,Chihuahua
PRI,XV,2013,LXIV,Chihuahua
PRI,XVI,2013,LXIV,Chihuahua
PAN,XVII,2013,LXIV,Chihuahua
PRI,XVIII,2013,LXIV,Chihuahua
PAN,XIX,2013,LXIV,Chihuahua
PAN,XX,2013,LXIV,Chihuahua
PRI,XXI,2013,LXIV,Chihuahua
PRI,XXII,2013,LXIV,Chihuahua
PAN,,2013,LXIV,Chihuahua
PAN,,2013,LXIV,Chihuahua
PAN,,2013,LXIV,Chihuahua
PANAL,,2013,LXIV,Chihuahua
PANAL,,2013,LXIV,Chihuahua
PT,,2013,LXIV,Chihuahua
PT,,2013,LXIV,Chihuahua
PRI,,2013,LXIV,Chihuahua
PVEM,,2013,LXIV,Chihuahua
PRD,,2013,LXIV,Chihuahua
MC,,2013,LXIV,Chihuahua
PRI,I,2010,LXIII,Chihuahua
PRI,II,2010,LXIII,Chihuahua
PAN,III,2010,LXIII,Chihuahua
PAN,IV,2010,LXIII,Chihuahua
PRI,V,2010,LXIII,Chihuahua
PANAL,VI,2010,LXIII,Chihuahua
PRI,VII,2010,LXIII,Chihuahua
PRI,VIII,2010,LXIII,Chihuahua
PRI,IX,2010,LXIII,Chihuahua
PRI,X,2010,LXIII,Chihuahua
PRI,XI,2010,LXIII,Chihuahua
PRI,XII,2010,LXIII,Chihuahua
PRI,XIII,2010,LXIII,Chihuahua
PRI,XIV,2010,LXIII,Chihuahua
PRI,XV,2010,LXIII,Chihuahua
PRI,XVI,2010,LXIII,Chihuahua
PRI,XVII,2010,LXIII,Chihuahua
PRI,XVIII,2010,LXIII,Chihuahua
PRI,XIX,2010,LXIII,Chihuahua
PRI,XX,2010,LXIII,Chihuahua
PRI,XXI,2010,LXIII,Chihuahua
PRI,XXII,2010,LXIII,Chihuahua
PANAL,,2010,LXIII,Chihuahua
PRD,,2010,LXIII,Chihuahua
PAN,,2010,LXIII,Chihuahua
PVEM,,2010,LXIII,Chihuahua
PAN,,2010,LXIII,Chihuahua
PANAL,,2010,LXIII,Chihuahua
PANAL,,2010,LXIII,Chihuahua
PT,,2010,LXIII,Chihuahua
PAN,,2010,LXIII,Chihuahua
PVEM,,2010,LXIII,Chihuahua
PAN,,2010,LXIII,Chihuahua
PRI,I,2007,LXII,Chihuahua
PRI,II,2007,LXII,Chihuahua
PRI,III,2007,LXII,Chihuahua
PAN,IV,2007,LXII,Chihuahua
PRI,V,2007,LXII,Chihuahua
Alianza,VI,2007,LXII,Chihuahua
PRI,VII,2007,LXII,Chihuahua
PRI,VIII,2007,LXII,Chihuahua
PRI,IX,2007,LXII,Chihuahua
PRI,X,2007,LXII,Chihuahua
PAN,XI,2007,LXII,Chihuahua
PRI,XII,2007,LXII,Chihuahua
PRI,XIII,2007,LXII,Chihuahua
PRI,XIV,2007,LXII,Chihuahua
PAN,XV,2007,LXII,Chihuahua
PRI,XVI,2007,LXII,Chihuahua
PAN,XVII,2007,LXII,Chihuahua
PAN,XVIII,2007,LXII,Chihuahua
PAN,XIX,2007,LXII,Chihuahua
PRI,XX,2007,LXII,Chihuahua
PRI,XXI,2007,LXII,Chihuahua
PAN,XXII,2007,LXII,Chihuahua
PT,,2007,LXII,Chihuahua
PRI,,2007,LXII,Chihuahua
PRD,,2007,LXII,Chihuahua
PAN,,2007,LXII,Chihuahua
PAN,,2007,LXII,Chihuahua
PAN,,2007,LXII,Chihuahua
PAN,,2007,LXII,Chihuahua
PAN,,2007,LXII,Chihuahua
Alianza,,2007,LXII,Chihuahua
Alianza,,2007,LXII,Chihuahua
PVEM,,2007,LXII,Chihuahua
PRI,I,2004,LXI,Chihuahua
PRI,II,2004,LXI,Chihuahua
PAN,III,2004,LXI,Chihuahua
PAN,IV,2004,LXI,Chihuahua
PRI,V,2004,LXI,Chihuahua
PRI,VI,2004,LXI,Chihuahua
PRI,VII,2004,LXI,Chihuahua
PRI,VIII,2004,LXI,Chihuahua
PRI,IX,2004,LXI,Chihuahua
PRI,X,2004,LXI,Chihuahua
PRI,XI,2004,LXI,Chihuahua
PRI,XII,2004,LXI,Chihuahua
PAN,XIII,2004,LXI,Chihuahua
PRI,XIV,2004,LXI,Chihuahua
PRI,XV,2004,LXI,Chihuahua
PRI,XVI,2004,LXI,Chihuahua
PAN,XVII,2004,LXI,Chihuahua
PRI,XVIII,2004,LXI,Chihuahua
PAN,XIX,2004,LXI,Chihuahua
PRI,XX,2004,LXI,Chihuahua
PRI,XXI,2004,LXI,Chihuahua
PRI,XXII,2004,LXI,Chihuahua
PT,,2004,LXI,Chihuahua
PT,,2004,LXI,Chihuahua
PRD,,2004,LXI,Chihuahua
PAN,,2004,LXI,Chihuahua
PRD,,2004,LXI,Chihuahua
PAN,,2004,LXI,Chihuahua
PRD,,2004,LXI,Chihuahua
PAN,,2004,LXI,Chihuahua
PAN,,2004,LXI,Chihuahua
PAN,,2004,LXI,Chihuahua
PRI,,2004,LXI,Chihuahua
PRI,I,2001,LX,Chihuahua
PRI,II,2001,LX,Chihuahua
PAN,III,2001,LX,Chihuahua
PAN,IV,2001,LX,Chihuahua
PRI,V,2001,LX,Chihuahua
PAN,VI,2001,LX,Chihuahua
PRI,VII,2001,LX,Chihuahua
PRI,VIII,2001,LX,Chihuahua
PAN,IX,2001,LX,Chihuahua
PRI,X,2001,LX,Chihuahua
PRI,XI,2001,LX,Chihuahua
PRI,XII,2001,LX,Chihuahua
PRI,XIII,2001,LX,Chihuahua
PRI,XIV,2001,LX,Chihuahua
PRI,XV,2001,LX,Chihuahua
PRI,XVI,2001,LX,Chihuahua
PAN,XVII,2001,LX,Chihuahua
PAN,XVIII,2001,LX,Chihuahua
PRI,XIX,2001,LX,Chihuahua
PRI,XX,2001,LX,Chihuahua
PRI,XXI,2001,LX,Chihuahua
PRI,XXII,2001,LX,Chihuahua
PRI,,2001,LX,Chihuahua
PAN,,2001,LX,Chihuahua
PAN,,2001,LX,Chihuahua
PAN,,2001,LX,Chihuahua
PAN,,2001,LX,Chihuahua
PRD,,2001,LX,Chihuahua
PRD,,2001,LX,Chihuahua
PT,,2001,LX,Chihuahua
PT,,2001,LX,Chihuahua
PRI,I,2012,LIX,Coahuila
PRI,II,2012,LIX,Coahuila
PRI,III,2012,LIX,Coahuila
PRI,IV,2012,LIX,Coahuila
PVEM,V,2012,LIX,Coahuila
PRI,VI,2012,LIX,Coahuila
PRI,VII,2012,LIX,Coahuila
PRI,VIII,2012,LIX,Coahuila
PPC,IX,2012,LIX,Coahuila
PRI,X,2012,LIX,Coahuila
PRI,XI,2012,LIX,Coahuila
PRI,XII,2012,LIX,Coahuila
PRI,XIII,2012,LIX,Coahuila
PANAL,XIV,2012,LIX,Coahuila
PRI,XV,2012,LIX,Coahuila
PRI,XVI,2012,LIX,Coahuila
PAN,,2012,LIX,Coahuila
UDC,,2012,LIX,Coahuila
PAN,,2012,LIX,Coahuila
PRI,,2012,LIX,Coahuila
