"partido","MR","RP","legis","year"
"MC",NA,2,"XXI",2013
"PAN",12,NA,"XIX",2007
"PAN",11,NA,"XVI",1998
"PAN",12,NA,"XVII",2001
"PAN",12,NA,"XVIII",2004
"PAN",2,4,"XX",2010
"PAN",6,2,"XXI",2013
"PEBC",1,NA,"XVIII",2004
"PEBC",2,NA,"XXI",2013
"PEBC",NA,1,"XX",2010
"PES",1,NA,"XIX",2007
"PES",1,NA,"XXI",2013
"PNA",2,NA,"XIX",2007
"PNA",1,1,"XX",2010
"PNA",2,NA,"XXI",2013
"PRD",1,NA,"XIX",2007
"PRD",1,1,"XVIII",2004
"PRD",1,NA,"XXI",2013
"PRD",NA,3,"XVI",1998
"PRD",NA,2,"XVII",2001
"PRD",NA,2,"XX",2010
"PRI",6,2,"XIX",2007
"PRI",5,6,"XVI",1998
"PRI",3,7,"XVII",2001
"PRI",7,2,"XVIII",2004
"PRI",11,1,"XX",2010
"PRI",3,3,"XXI",2013
"PT",1,1,"XXI",2013
"PVEM",1,NA,"XVII",2001
"PVEM",2,NA,"XX",2010
"PVEM",1,NA,"XXI",2013
"PVEM",NA,1,"XIX",2007
"PVEM",NA,1,"XVIII",2004
