"estado","partido","MR","RP","legis","year"
"Veracruz","AVE",NA,1,"LXIII",2013
"Zacatecas","CD",NA,1,"LVII",2001
"Veracruz","CDP",NA,1,"LIX",2000
"Tlaxcala","CDPPN",NA,1,"LVII",2002
"Coahuila","Coalición",NA,4,"LV",2000
"Durango","Coalición",NA,1,"LXVI",2013
"Puebla","Comp. con Puebla",3,NA,"LIX",2014
"Morelos","Convergencia",NA,2,"XLIX",2003
"Veracruz","Convergencia",1,NA,"LX",2004
"Chiapas","Convergencia",NA,1,"LXII",2004
"Puebla","Convergencia",NA,2,"LVI",2005
"Zacatecas","Convergencia",1,1,"LIX",2007
"Oaxaca","Convergencia",NA,3,"LX",2007
"Veracruz","Convergencia",NA,2,"LXI",2007
"Chiapas","Convergencia",NA,1,"LXIII",2007
"Tlaxcala","Convergencia",NA,1,"LIX",2008
"Puebla","Convergencia",NA,1,"LVII",2008
"Morelos","Convergencia",NA,2,"LI",2009
"Sinaloa","Convergencia",NA,1,"LX",2010
"Zacatecas","Convergencia",NA,2,"LX",2010
"Oaxaca","Convergencia",2,1,"LXI",2010
"Chiapas","Convergencia",NA,1,"LXIV",2010
"Puebla","Convergencia",NA,1,"LVIII",2011
"Tlaxcala","Convergencia",1,NA,"LX",2011
"Zacatecas","CPPN",NA,1,"LVIII",2004
"Morelos","Guzmán",1,NA,"LII",2012
"Morelos","HUMAN",NA,1,"LIII",2015
"Nuevo León","IND",NA,2,"LXX",2003
"Veracruz","IND",1,NA,"LXI",2007
"Tlaxcala","IND",NA,1,"LIX",2008
"Sinaloa","IND",NA,1,"LX",2010
"Tlaxcala","IND",NA,1,"LX",2011
"Morelos","MC",2,NA,"LII",2012
"Zacatecas","MC",NA,2,"LXI",2013
"Chihuahua","MC",NA,1,"LXIV",2013
"Durango","MC",NA,1,"LXVI",2013
"Morelos","MC",NA,1,"LIII",2015
"Morelos","Morena",NA,1,"LIII",2015
"Oaxaca","NDF",NA,1,"LXII",2013
"Tlaxcala","PAC",NA,1,"LX",2011
"Veracruz","PAN",4,7,"LIX",2000
"Coahuila","PAN",1,1,"LV",2000
"Sonora","PAN",8,5,"LVI",2000
"Nuevo León","PAN",16,7,"LXIX",2000
"Morelos","PAN",10,5,"XLVIII",2000
"Yucatán","PAN",7,5,"LVI",2001
"Sinaloa","PAN",3,9,"LVII",2001
"Tabasco","PAN",NA,2,"LVII",2001
"Zacatecas","PAN",1,3,"LVII",2001
"Oaxaca","PAN",NA,7,"LVIII",2001
"Chihuahua","PAN",6,4,"LX",2001
"Chiapas","PAN",1,4,"LXI",2001
"Durango","PAN",2,5,"LXII",2001
"Puebla","PAN",6,4,"LV",2002
"Tlaxcala","PAN",NA,3,"LVII",2002
"Coahuila","PAN",4,4,"LVI",2003
"Sonora","PAN",6,6,"LVII",2003
"Nuevo León","PAN",6,5,"LXX",2003
"Morelos","PAN",9,NA,"XLIX",2003
"Oaxaca","PAN",3,3,"LIX",2004
