"partido","MR","RP","legis","year"
"PAN",14,7,"LVI",2001
"PRD",NA,2,"LVI",2001
"PRI",6,10,"LVI",2001
"PVEM",NA,1,"LVI",2001
"PAN",17,NA,"LVII",2004
"PRD",2,NA,"LVII",2004
"PRI",19,NA,"LVII",2004
"PVEM",2,NA,"LVII",2004
"PAN",19,1,"LVIII",2007
"PANAL",NA,2,"LVIII",2007
"PRD",NA,3,"LVIII",2007
"PRI",1,12,"LVIII",2007
"PT",NA,1,"LVIII",2007
"PVEM",NA,1,"LVIII",2007
"PAN",8,9,"LIX",2010
"PRD",NA,2,"LIX",2010
"PRI",12,6,"LIX",2010
"PVEM",NA,2,"LIX",2010
"MC",NA,1,"LX",2013
"PAN",5,4,"LX",2013
"PMC",2,3,"LX",2013
"PRD",NA,2,"LX",2013
"PRI",10,2,"LX",2013
"PVEM",1,NA,"LX",2013
"Indep",1,NA,"LXI",2016
"MoCi",9,5,"LXI",2016
"PAN",NA,5,"LXI",2016
"PNA",NA,1,"LXI",2016
"PRD",NA,2,"LXI",2016
"PRI",8,5,"LXI",2016
"PVEM",2,1,"LXI",2016
