"partido","MR","PR","legis","year"
"PAN",1,4,"LXIX",2001
"PRD",12,4,"LXIX",2001
"PRI",11,7,"LXIX",2001
"PT",NA,1,"LXIX",2001
"PAN",3,3,"LXX",2005
"PRD",11,6,"LXX",2005
"PRI",10,5,"LXX",2005
"PT",NA,1,"LXX",2005
"PVEM",NA,1,"LXX",2005
"Convergencia",NA,1,"LXXI",2008
"PAN",8,4,"LXXI",2008
"PNA",NA,1,"LXXI",2008
"PRD",11,3,"LXXI",2008
"PRI",5,5,"LXXI",2008
"PT",NA,1,"LXXI",2008
"PVEM",NA,1,"LXXI",2008
"PAN",5,4,"LXXII",2012
"PRD",7,4,"LXXII",2012
"PRI",12,6,"LXXII",2012
"PT",NA,1,"LXXII",2012
"PVEM",NA,1,"LXXII",2012
"MC",NA,1,"LXXIII",2015
"MORENA",NA,1,"LXXIII",2015
"PAN",2,5,"LXXIII",2015
"PRD",9,3,"LXXIII",2015
"PRI",10,5,"LXXIII",2015
"PT",1,1,"LXXIII",2015
"PVEM",2,NA,"LXXIII",2015
"indep",NA,1,"LXXIV",2018
"Indep",NA,1,"LXXIV",2018
"MC",NA,1,"LXXIV",2018
"MORENA",11,1,"LXXIV",2018
"PAN",5,3,"LXXIV",2018
"PRD",4,2,"LXXIV",2018
"PRI",NA,5,"LXXIV",2018
"PT",4,NA,"LXXIV",2018
"PVEM",NA,2,"LXXIV",2018
