"partido","MR","PR","legis","year"
"PAN",4,2,"XXVI",1999
"PRD",7,2,"XXVI",1999
"PRI",5,6,"XXVI",1999
"PRS",NA,1,"XXVI",1999
"PT",2,1,"XXVI",1999
"PAN",NA,6,"XXVII",2002
"PCD",NA,2,"XXVII",2002
"PRD",NA,2,"XXVII",2002
"PRI",18,NA,"XXVII",2002
"PT",NA,2,"XXVII",2002
"CONV",NA,1,"XXVIII",2005
"PAN",NA,2,"XXVIII",2005
"PRD",2,4,"XXVIII",2005
"PRI",16,1,"XXVIII",2005
"PRS",NA,1,"XXVIII",2005
"PT",NA,2,"XXVIII",2005
"CONV",NA,1,"XXIX",2008
"PAN",1,3,"XXIX",2008
"PANAL",1,1,"XXIX",2008
"PRD",1,3,"XXIX",2008
"PRI",14,2,"XXIX",2008
"PT",NA,1,"XXIX",2008
"PV",1,1,"XXIX",2008
"CONV",NA,1,"XXX",2011
"PAN",4,5,"XXX",2011
"PANAL",NA,2,"XXX",2011
"PRD",NA,2,"XXX",2011
"PRI",14,1,"XXX",2011
"PVEM",NA,1,"XXX",2011
"MC",NA,1,"XXXI",2014
"PAN",2,4,"XXXI",2014
"PRD",2,3,"XXXI",2014
"PRI",13,2,"XXXI",2014
"PT",NA,2,"XXXI",2014
"PVEM",1,NA,"XXXI",2014
"IND",1,1,"XXXII",2017
"MC",NA,1,"XXXII",2017
"Morena",1,1,"XXXII",2017
"PAN",8,1,"XXXII",2017
"PANAL",NA,1,"XXXII",2017
"PRD",NA,5,"XXXII",2017
"PRI",6,2,"XXXII",2017
"PT",NA,2,"XXXII",2017
