DIPUTADO,CARÁCTER,SISTEMA,DISTRITO,PARTIDO
C. CARLOS MANUEL MONTAÑO MONTAÑO,PROPIETARIO,Mayoría Relativa,I,PRD-PT
C. EVANGELINA RUTH CERVANTES O.,SUPLENTE,,,
C. ELSA DE LA PAZ ESQUIVEL AMADOR,PROPIETARIO,Mayoría Relativa,II,PRD-PT
C. IRMA ISABEL FIOL COLLINS,SUPLENTE,,,
C. ROSALÍA MONTAÑO ACEVEDO,PROPIETARIO,Mayoría Relativa,III,PRD-PT
C. FRANCISCO JAVIER CESEÑA OSUNA,SUPLENTE,,,
C. JOSÉ ALBERTO CESEÑA COSÍO,PROPIETARIO,Mayoría Relativa,IV,PRD-PT
C. FIDEL LUIS CASTILLO AVILÉS,SUPLENTE,,,
C. ADELINA LOGAN CARRASCO,PROPIETARIO,Mayoría Relativa,V,PRD-PT
C. ADOLFO MANRÍQUEZ MARTÍNEZ,SUPLENTE,,,
C. JORGE  ANTONIO BARAJAS SALGADO,PROPIETARIO,Mayoría Relativa,VI,PRD-PT
C. GLORIA EDÍTH UNZÓN OJEDA,SUPLENTE,,,
C. LUIS ARMANDO DÍAZ,PROPIETARIO,Mayoría Relativa,VII,PRD-PT
C. MARÍA FRANCISCA PIMENTEL CASTRO,SUPLENTE,,,
C. JESÚS DRUCK GONZÁLEZ,PROPIETARIO,Mayoría Relativa,VIII,PRD-PT
C. JAVIER ONTIVEROS FABÍAN,SUPLENTE,,,
C. JUAN CARLOS PETRIDES BALVANERA,PROPIETARIO,Mayoría Relativa,IX,PRI
C. ROSENDO OSUNA CHÁVEZ,SUPLENTE,,,
C. ENRIQUE GÓMEZ CENICEROS,PROPIETARIO,Mayoría Relativa,X,PRD-PT
C. GASPAR GERALDO,SUPLENTE,,,
C. CLARA ROJAS CONTRERAS,PROPIETARIO,Mayoría Relativa,XI,PRD-PT
C. MIGUEL ÁNGEL LIZARRAGA D.,SUPLENTE,,,
C. JORGE ENRIQUE CANSINO VILLAVICENCIO,PROPIETARIO,Mayoría Relativa,XII,PRD-PT
C. DIEGO DAVID NAVARRO ROSAS,SUPLENTE,,,
C. LUIS ZUÑIGA ESPINOZA,PROPIETARIO,Mayoría Relativa,XIII,PRI
C. MIGUEL ÁNGEL AGUILAR V.,SUPLENTE,,,
C. RODOLFO  GARAYZAR ANAYA,PROPIETARIO,Mayoría Relativa,XIV,PRI
C. GUILLERMINA HINOJOSA C.,SUPLENTE,,,
C. SERGIO YGNACIO BOJÓRQUEZ BLANCO,PROPIETARIO,Mayoría Relativa,XV,PRI
C. JOSÉ IGNACIO PERPULÍ ARCE,SUPLENTE,,,
C. MARIO VARGAS AGUIAR,PROPIETARIO,Representación  Proporcional,,PRI
C. BLANCA ESTHELA MEZA TORRES,SUPLENTE,,,
C. AMADEO MURILLO AGUILAR,PROPIETARIO,Representación  Proporcional,,PRI
C. HUGO DANIEL ISLAS DIBENE,SUPLENTE,,,
C. MARÍA LUISA GONZÁLEZ CASTRO,PROPIETARIO,Representación  Proporcional,,PAS
C. MARTÍN SANTIAGO ALEJANDRE,SUPLENTE,,,
C. CARLOS VIDAL YEE ROMO,PROPIETARIO,Representación  Proporcional,,PAN
C. CARMEN GUTIÉRREZ DELGADO,SUPLENTE,,,
C. JOAQUÍN CUESTA ROMERO,PROPIETARIO,Representación  Proporcional,,PAN
C. MIRNA BRERA FLORES,SUPLENTE,,,
C. INÉS MARÍA VALDEZ RUY SÁNCHEZ,PROPIETARIO,Representación  Proporcional,,PVEM
C. HUGO VALDEZ GERALDO,SUPLENTE,,,
