DIPUTADO,CARÁCTER,SISTEMA,DISTRITO,PARTIDO
C. ARTURO JAIME FLORES GONZÁLEZ,PROPIETARIO,Mayoria Relativa,I,PRD - PT - CONVERGENCIA
C. Juan Lorenzo Valenzuela Sandoval,SUPLENTE,,,
C. ARMANDO COTA NÚÑEZ,PROPIETARIO,Mayoria Relativa,II,PRD - PT - CONVERGENCIA
C. Maribel Amador Carlón,SUPLENTE,,,
C. MARÍA MAGDALENA CUELLAR PEDRAZA,PROPIETARIO,Mayoria Relativa,III,PRD - PT - CONVERGENCIA
C. Alida Rodriguez Quiñonez,SUPLENTE,,,
C. JESÚS GABINO CESEÑA OJEDA,PROPIETARIO,Mayoria Relativa,IV,PRD - PT - CONVERGENCIA
C. Jesús Estela Robledo Galaviz,SUPLENTE,,,
C. JORGE MIGUEL COTA KATZENSTEIN,PROPIETARIO,Mayoria Relativa,V,PANAL
C. Maria Eugenia Osuna Santos,SUPLENTE,,,
C. ADY MARGARITA NÚÑEZ ABIN,PROPIETARIO,Mayoria Relativa,VI,PRD - PT - CONVERGENCIA
C. Ana Maria Marquez Collins,SUPLENTE,,,
C. ARIEL CASTRO CÁRDENAS,PROPIETARIO,Mayoria Relativa,VII,PRD - PT - CONVERGENCIA
C. Jose Julio Belmar Pimentel Amador,SUPLENTE,,,
C. ARTURO DE LA ROSA ESCALANTE,PROPIETARIO,Mayoria Relativa,VIII,PRD - PT - CONVERGENCIA
C. Elmuth Dubeth Castillo Sandoval,SUPLENTE,,,
C. LUIS ANDRES CÓRDOVA URRUTIA,PROPIETARIO,Mayoria Relativa,IX,PRD - PT - CONVERGENCIA
C. Agustín Eugenio Boyzo Arreola,SUPLENTE,,,
C. MARÍA CONCEPCIÓN MAGAÑA MARTÍNEZ,PROPIETARIO,Mayoria Relativa,X,PRD - PT - CONVERGENCIA
C. Reynaldo Arcadio Navarro Álvarez,SUPLENTE,,,
C. JUAN NORBERTO HERNÁNDEZ PAULARENA,PROPIETARIO,Mayoria Relativa,XI,PRD - PT - CONVERGENCIA
C. José Efrain Ponce Hernandez,SUPLENTE,,,
C. FRANCISCO JAVIER RUBIO ROMERO,PROPIETARIO,Mayoria Relativa,XII,PRD - PT - CONVERGENCIA
C. Roman Larrinaga Olivas,SUPLENTE,,,
C. GUILLERMO SANTILLÁN MEZA,PROPIETARIO,Mayoria Relativa,XIII,PRD - PT - CONVERGENCIA
C. Benito Meza Mayoral,SUPLENTE,,,
C. JOSÉ FELIPE PRADO BAUTISTA,PROPIETARIO,Mayoria Relativa,XIV,PRI
C. Rosas Mercedes Torres Romero,SUPLENTE,,,
C. NATIVIDAD OSUNA AGUILAR,PROPIETARIO,Mayoria Relativa,XV,PRD - PT - CONVERGENCIA
C. Ana Bertha Verdugo Ojeda,SUPLENTE,,,
C. GRACIELA TREVIÑO GARZA,PROPIETARIO,Mayoria Relativa,XVI,PRD - PT - CONVERGENCIA
C. Francisca Espinoza Lucero,SUPLENTE,,,
C. SONIA MURILLO MACIAS,PROPIETARIO,Representación Proporcional,,PAN
C. Francisco Eduardo Butterfield Felix,SUPLENTE,,,
C. ADOLFO GONZÁLEZ AGUNDEZ,PROPIETARIO,Representación Proporcional,,PAN
C. Maria del Refugio Rojas Contreras,SUPLENTE,,,
C. JOSÉ HUMBERTO MAYORAL LÓPEZ,PROPIETARIO,Representación Proporcional,,PRI
C. Francisco Javier Higuera Patron,SUPLENTE,,,
C. SILVESTRE DE LA TOBA CAMACHO,PROPIETARIO,Representación Proporcional,,PANAL
C. Erika Elena Cianci Guadarrama,SUPLENTE,,,
C. RAMÓN ANTONIO VARGAS SÁNCHEZ,PROPIETARIO,Representación Proporcional,,MRPS
C. José Rafael Lopez Inzunza,SUPLENTE,,,
