"",,,,
DIPUTADO,CARÁCTER,SISTEMA,DISTRITO,ORIGEN PARTIDARIO
"",,,,
"",,,,
C. HÉCTOR MANUEL ORTEGA PILLADO,PROPIETARIO,Mayoría Relativa,I,MORENA
"",,,,
C. Arnoldo Alberto Rentería Santana,SUPLENTE,,,
"",,,,
C. RAMIRO RUÍZ FLORES,PROPIETARIO,Mayoría Relativa,II,PES
"",,,,
C. Mario Maya Tirado,SUPLENTE,,,
"",,,,
C. ESTEBAN OJEDA RAMÍREZ,PROPIETARIO,Mayoría Relativa,III,MORENA
"",,,,
C. Jaime Holmos Montaño,SUPLENTE,,,
"",,,,
C. MILENA PAOLA QUIROGA ROMERO,PROPIETARIO,Mayoría Relativa,IV,MORENA
"",,,,
C. Jesus Estela Robledo Galaviz,SUPLENTE,,,
"",,,,
C. PERLA GUADALUPE FLORES LEYVA,PROPIETARIO,Mayoría Relativa,V,PES
"",,,,
C. María Del Rocio Ventura García,SUPLENTE,,,
"",,,,
C. CARLOS JOSÉ VAN WORMER RUIZ,PROPIETARIO,Mayoría Relativa,VI,MORENA
"",,,,
C. Francisco Javier Salgado Agúndez,SUPLENTE,,,
"",,,,
C. MARÍA PETRA JUÁREZ MACEDA,PROPIETARIO,Mayoría Relativa,VII,MORENA
"",,,,
C. Dominga Zumaya Alucano,SUPLENTE,,,
"",,,,
C. HOMERO GONZÁLEZ MEDRANO,PROPIETARIO,Mayoría Relativa,VIII,PES
"",,,,
C. José Ernesto Amador García,SUPLENTE,,,
"",,,,
C. MARÍA ROSALBA RODRÍGUEZ LÓPEZ,PROPIETARIO,Mayoría Relativa,IX,MORENA
"",,,,
C. Consuelo Baranda Olea,SUPLENTE,,,
"",,,,
C. SOLEDAD SALDAÑA BAÑALEZ,PROPIETARIO,Mayoría Relativa,X,PES
"",,,,
C. María Del Socorro Guadalupe López Peñaloza,SUPLENTE,,,
"",,,,
C. HUMBERTO ARCE CORDERO,PROPIETARIO,Mayoría Relativa,XI,MORENA
"",,,,
C. Jorge Luis Meléndez Jacobo,SUPLENTE,,,
"",,,,
C. SANDRA GUADALUPE MORENO VÁZQUEZ,PROPIETARIO,Mayoría Relativa,XII,PES
"",,,,
C. María Edwiges García Flores,SUPLENTE,,,
"",,,,
C. JOSÉ LUIS PERPULI DREW,PROPIETARIO,Mayoría Relativa,XIII,PRS
"",,,,
C. Gregorio Vega Márquez,SUPLENTE,,,
C. MARCELO ARMENTA,PROPIETARIO,Mayoría Relativa,XIV,MORENA
C. Onofre Pérez Camacho,SUPLENTE,,,
C. RIGOBERTO MURILLO AGUILAR,PROPIETARIO,Mayoría Relativa,XV,PES
C. Joan Sebastian Quintino Perea,SUPLENTE,,,
C. LORENIA LINETH MONTAÑO RUIZ,PROPIETARIO,Mayoría Relativa,XVI,MORENA
C. Alba Josefina Ceseña González,SUPLENTE,,,
C. ELIZABETH ROCHA TORRES,PROPIETARIO,Representación Proporcional,,PAN
C. Amalia Camacho Álvarez,SUPLENTE,,,
C. ANITA BELTRÁN PERALTA,PROPIETARIO,Representación Proporcional,,PRI
C. Arely Amador Aldaco,SUPLENTE,,,
C. MA. MERCEDES MACIEL ORTIZ,PROPIETARIO,Representación Proporcional,,PT
C. Diana Rubí Sandez García,SUPLENTE,,,
C. MARICELA PINEDA GARCIA,PROPIETARIO,Representación Proporcional,,PRD
C. Alma Idelfonsa Payan Solís,SUPLENTE,,,
C. DANIELA VIVIANA RUBIO AVILÉS,PROPIETARIO,Representación Proporcional,,PHBCS
C. Xóchitl Aida Marrón Cota,SUPLENTE,,,
