"PARTIDO","MR","RP","legis"
"CONVERGENCIA",NA,1,"bcsXIII"
"MORENA",9,NA,"bcsXV"
"MORENA",NA,1,"bcsXIV"
"MRPS",NA,1,"bcsXII"
"PAN",7,NA,"bcsXIII"
"PAN",7,NA,"bcsXIV"
"PAN",NA,2,"bcsX"
"PAN",NA,2,"bcsXII"
"PAN",NA,1,"bcsXV"
"PANAL",1,1,"bcsXII"
"PANAL",NA,1,"bcsXIII"
"PAS",NA,1,"bcsX"
"PES",6,NA,"bcsXV"
"PHBCS",NA,1,"bcsXV"
"PRD",3,1,"bcsXIII"
"PRD",NA,1,"bcsXIV"
"PRD",NA,1,"bcsXV"
"PRD-PT",11,NA,"bcsX"
"PRD - PT - CONVERGENCIA",14,NA,"bcsXII"
"PRI",4,2,"bcsX"
"PRI",1,1,"bcsXII"
"PRI",4,2,"bcsXIII"
"PRI",1,2,"bcsXIV"
"PRI",NA,1,"bcsXV"
"PRS",2,NA,"bcsXIII"
"PRS",8,NA,"bcsXIV"
"PRS",1,NA,"bcsXV"
"PT",NA,1,"bcsXIV"
"PT",NA,1,"bcsXV"
"PVEM",NA,1,"bcsX"
