Distrito,Municipio,Diputado Propietario,Diputado Suplente,Partido,legis
I,Campeche,Enrique Ariel Escalante Arceo,Luisa del C. Zapata Barredo,PRI,LVII
II,Campeche,Rafael Eduardo Alcalá Ortiz,Sergio del Río Ávila,PAN,LVII
III,Campeche,Vicente Castellot Castro,Mauro Enseñat Rodríguez,PRI,LVII
IV,Campeche,Carlos M. Cambranis López,Maria G. Seca Escalante,PAN,LVII
V,Campeche,Luis Fernando Sadek Abad,Maria de L. Portillo Contreras,PRI,LVII
VI,Campeche,Rafaela M. Santamaría Blum,Ángel F. Gómez Baeza,PRI,LVII
VII,Campeche,Carlos E. Baqueiro Cáceres,Virginia Chablé Vázquez,PRI,LVII
VIII,Carmen,Jorge Rosiñol Abreu,Joséfina del R. Bolón Cano,PAN,LVII
IX,Carmen,Silverio B. Cruz Quevedo,Ismael Trujillo Camacho,PAN,LVII
X,Carmen,Tomás E. Gutiérrez Pérez,Aciselo Paz López,PAN,LVII
XI,Carmen,José del C. Rodríguez Vera,Socorro del J. Baqueiro Acosta,PAN,LVII
XII,Carmen,Alberto Abreu May,Martín Montes de Oca,PRI,LVII
XIII,Carmen,Sergio Pérez Jiménez,Reynaldo Carrizales Espinosa,PRI,LVII
XIV,Carmen,Antonio Piedra Castro,Ramón Ávila Espinoza,PRI,LVII
XV,Champotón,Raúl Armando Uribe Flores,Silviano Farias Barragán,PRI,LVII
XVI,Champotón,Celso Vera Talango,José Francisco Sosa Fuentes,PRI,LVII
XVII,Calkiní,César Iván Arcila Amézquita,Roque J. Sánchez Espadas,PRI,LVII
XVIII,Hopelchén,Blanca Rosalina Bernés Chan,Coronado D. Figueroa Sánchez,PRI,LVII
XIX,Hecelchakán,Isabel del Rosario Chán Pantí,Fernando A. Nahum Sleme,PRI,LVII
XX,Palizada,Juan A. Martínez Delgado,Carlos M. Rosado Zavala,PRI,LVII
XXI,Tenabo,Enrique A. Muñoz Herrera,Donaciano Azul Catzín,PRI,LVII
,,Jorge Jiménez Domínguez,,PAN,LVII
,,Yolanda Guadalupe Valladares Valle,,PAN,LVII
,,Edgar Esteban Richard Lara,,PAN,LVII
,,José Jesús Durán Ruiz,,PAN,LVII
,,Donaldo Obregón Pérez,,PAN,LVII
,,Mario Alberto Romero Gutiérrez,,PAN,LVII
,,Martín de la Cruz Castillo Valenzuela,,PRD,LVII
,,Ana Laura Alayola Vargas,,PRD,LVII
,,Fitzgerald de León Villard,,PRD,LVII
,,Fernando Eutimio Ortega Bernés,,PRI,LVII
,,José del Carmen Gómez Casanova,,PRI,LVII
,,Juan José Boeta Tous,,PRI,LVII
,,Rafael Teobaldo Pou Vera,,PRI,LVII
,,Ana María López Hernández,,PT,LVII
I,Campeche,Aurora de Dios Cobos Toledo Joaquín S. Sánchez Gómez,,PRI,LVIII
II,Campeche,Enrique Celorio Pedrero Lourdes de los A. Ganzo Rivera,,PRI,LVIII
III,Campeche,Carlos O. Pacheco Castro José J. P. López Ramírez,,PRI,LVIII
IV,Campeche,Rita Dolores Del Río Ávila José Román Sanchez Loría,,PRI,LVIII
V,Campeche,Francisco G. Brown Gantús Esperanza de las M. Ortega Azar,,PRI,LVIII
VI,Campeche,Raúl Aarón Pozoz Lanz Margarita Navarrete Magaña,,PRI,LVIII
VII,Campeche,Alberto R. González Flores Jorge Ines Te Chan,,PRI,LVIII
VIII,Carmen,Enrique Iván González López Joséfa Del C. Hurtado Lezama,,PAN,LVIII
IX,Carmen,Diana Palmer Abreu Georgina Del C. Lara Manzano,,PAN,LVIII
X,Carmen,Rita M. Espinosa Rebolledo Víctor C. del C. Espadas López,,PAN,LVIII
XI,Carmen,Dulce María Cervera Cetina Omel Martínez Valencia,,PRI,LVIII
XII,Carmen,Martha Irene Novelo Lara José Luis Varguez Acosta,,PRI,LVIII
XIII,Carmen,María del Carmen Gómez Carlos A. Ocampo González,,PAN,LVIII
XIV,Carmen,Fernando E. Razo Santiago Paulino Tun Arvez,,PRI,LVIII
XV,Champotón,Juan M. González Navarrete Celso A. Abreu García,,PAN,LVIII
XVI,Champotón,Luis Alberto Chán Talango Malaquias E. Vázquez Rosas,,PRI,LVIII
XVII,Calkiní,Jorge Antonio Cocón Collí Demetrio Cahuich Uc,,PRI,LVIII
XVIII,Hopelchén,José Antonio Lara Cauich Jorge Alberto Ik Uc,,PRI,LVIII
XIX,Hecelchakán,José Luis Montero Rosado Carlos Martín Ruiz Ortega,,PRI,LVIII
