Nombre,Paterno,Materno,Suplente,Legislatura,Partido,Distrito,Municipio
"Patricia Gloria",Jurado,Alonso,"María Ofilia Ibarra Leyva",LXVI,PAN,I,"Nuevo Casas Grandes"
"Janet Francis",Mendoza,Berber,"Irene Barraza Mata",LXVI,MORENA,II,Juárez
"Martha Josefina",Lemus,Gurrola,"Adriana Lazalde Moncada",LXVI,PES,III,Juárez
"Ana Carmen",Estrada,García,"Nayeli Olivas Orpineda",LXVI,MORENA,IV,Juárez
Benjamín,Carrera,Chávez,"Edin Cuauhtémoc Estrada Sotelo",LXVI,MORENA,V,Juárez
"Amelia Deyanira",Ozaeta,Díaz,"Brenda Alejandra Matus Peña",LXVI,PT,VI,Juárez
Gustavo,"De la Rosa",Hickerson,"Román Alcántar Alvídrez",LXVI,MORENA,VII,Juárez
Marisela,Sáenz,Moriel,"Silvia Ivón Hernández Parra",LXVI,PES,VIII,Juárez
Misael,Máynez,Cano,"Alejandro Tinajero Martínez",LXVI,PES,IX,Juárez
Leticia,Ochoa,Martínez,"Marisol López Licona",LXVI,MORENA,X,Juárez
Jesús,Villarreal,Macías,"Sabino González Carbajal",LXVI,PAN,XI,Meoqui
"Georgina Alejandra",Bujanda,Ríos,"Leticia Macías Rodríguez",LXVI,PAN,XII,Chihuahua
"Rocio Guadalupe",Sarmiento,Rufino,"Claudia Benyr Vázquez Torres",LXVI,MC,XIII,Guerrero
Obed,Lara,Chávez,"Enrique Raúl Márquez Contreras",LXVI,PES,XIV,Cuauhtémoc
"Jorge Carlos",Soto,Prieto,"José Antonio Chávez Rodríguez",LXVI,PAN,XV,Chihuahua
"Miguel Francisco","La Torre",Sáenz,"Mauricio Alessandro Madero Rivera",LXVI,PAN,XVI,Chihuahua
Blanca,Gámez,Gutiérrez,"María Isabel Morales González",LXVI,PAN,XVII,Chihuahua
"Carmen Rocío",González,Alonso,"Karla Yamileth Rivas Martínez",LXVI,PAN,XVIII,Chihuahua
"Jesús Alberto",Valenciano,García,"Vladimir Romero Espinoza",LXVI,PAN,XIX,Delicias
"Luis Alberto",Aguilar,Lozoya,"Jesús Manuel Vázquez Medina",LXVI,PAN,XX,Camargo
"Lorenzo Arturo",Parga,Amado,"Jesús Carlos Chávez Mena",LXVI,MC,XXI,"Hidalgo del Parral"
Jesús,Velázquez,Rodríguez,"Gerardo Lozano Ochoa",LXVI,PRI,XXII,Guachochi
Fernando,Álvarez,Monje,"Oscar Ricardo Mendiolea Ontiveros",LXVI,PAN,"Representación Proporcional",
Marisela,Terrazas,Muñoz,"Norma Patricia Guadalupe Ortiz Villegas",LXVI,PAN,"Representación Proporcional",
Omar,Bazán,Flores,"Diogenes Bustamante Vela",LXVI,PRI,"Representación Proporcional",
"Anna Elizabeth",Chávez,Mata,"Aidée Alejandra Domínguez Favela",LXVI,PRI,"Representación Proporcional",
"Rosa Isela",Gaytán,Díaz,"María Adela Soto Martínez",LXVI,PRI,"Representación Proporcional",
Rubén,Aguilar,Jiménez,"Rúben Aguilar Gil",LXVI,PT,"Representación Proporcional",
René,Frías,Bencomo,,LXVI,PNA,"Representación Proporcional",
Alejandro,Gloria,González,"Gerardo Manuel Antonio Andreu Rodríguez",LXVI,PVEM,"Representación Proporcional",
"Lourdes Beatriz",Valle,Armendáriz,"Lizbeth Avril Gómez López",LXVI,MORENA,"Representación Proporcional",
"Miguel Ángel",Colunga,Martínez,"Miguel Valdez Aguirre",LXVI,MORENA,"Representación Proporcional",
"Francisco Humberto",Chávez,Herrera,"Ulises Alvídrez Gutiérrez",LXVI,MORENA,"Representación Proporcional",
Román,Alcántar,Alvídrez,,LXVI,MORENA,VII,Juárez
Marisela,Sáenz,Moriel,"Silvia Ivón Hernández Parra",LXVI,PRI,VIII,Juárez
"Jesús Manuel",Vázquez,Medina,,LXVI,PAN,XX,Camargo
