PARTIDO,DISTRITO,PROPIETARIO,SUPLENTE
PRI,1,HILDA CEBALLOS LLERENAS,DAVID ENYELNIM MONROY RODRIGUEZ
PRI,2,JOSE ANTONIO OROZCO SANDOVAL,MARIA DEL SOCORRO RIVERA CARRILLO
PRI,3,MARIO ANGUIANO MORENO,JUAN MANUEL ELISEA GARCIA
PAN,4,FERDINANDO ENRIQUE MARTINEZ VALENCIA,RICARDO SANCHEZ ARREGUIN
PRI,5,FLORENCIO LLAMAS ACOSTA,SAIRA MIUSETH AGUILAR HERNANDEZ
PRI,6,JOSE DE JESUS PLASCENCIA HERRERA,JOSE LUIS AGUIRRE CAMPOS
PRI,7,LUIS AVILA AGUILAR,RICARDO RAMIREZ ALVAREZ
PRI,8,FRANCISCO PALACIOS TAPIA,ROSA BELTRAN PADILLA
PRI,9,CARLOS CRUZ MENDOZA,JUAN PABLO VELAZCO GONZALEZ
PAN,10,JOSE CORTES NAVARRO,MARIA EMMA ACEVEDO GOMEZ
PAN,11,J. FELIX MENDOZA PEREZ,VICTORIO JESUS CIPRIAN JACOBO
PAN,12,FRANCISCO SANTANA OCHOA,SILVIA BARBOSA JIMENEZ
PAN,13,J. ANTONIO ALVAREZ MACIAS,MARIA NATIVIDAD GOMEZ RANGEL
PRI,14,HECTOR BAUTISTA VAZQUEZ,BLANCA ESTELA FIGUEROA MICHEL
PRI,15,JESUS SILVERIO CAVAZOS CEBALLOS,BEATRIZ DE LA MORA DE LA MORA
PRI,16,JUAN CARLOS PINTO RODRIGUEZ,GIL ORTEGA LOPEZ
PAN,PLURI,ESMERALDA CARDENAS SANCHEZ,JOSE ANTONIO GARCIA SANCHEZ
PAN,PLURI,GABRIEL SALGADO AGUILAR,MONICA CRUZ CALVARIO
PAN,PLURI,LUIS FERNANDO ANTERO VALLE,ALVARO DOLORES AVALOS
PAN,PLURI,MARGARITA RAMIREZ SANCHEZ,MATCOS MAURICIO ELIZARRARAS GORDILLO
PRI,PLURI,JORGE HUMBERTO SILVA OCHOA,JESSICA LISSETTE ROMERO CONTRERAS
PRI,PLURI,MARTIN FLORES CASTAÑEDA,DORA MARIA YAÑEZ CONTRERAS
PRD,PLURI,J. JUBAL AYALA JIMENEZ,PATRICIA ANGUIANO CHAVEZ
PRD,PLURI,ARMANDO GONZALEZ MANZO,MARTHA ROBLES RAMOS
ADC,PLURI,SANDRA ANGUIANO BALBUENA,RUBEN RUIZ NAVA
