PARTIDO,DISTRITO,PROPIETARIO
PAN,1,ENRIQUE MICHEL RUIZ
PAN,2,PEDRO PERALTA RIVAS
PRI,3,ROBERTO CHAPULA DE LA MORA
PRI,4,JOSÉ FERMÍN SANTANA
PRI,5,J. FRANCISCO ANZAR HERRERA
PRI,6,JOSÉ DE JESÚS PLASCENCIA HERRERA
PAN,7,HUMBERTO CABRERA DUEÑAS
PAN,8,FERNANDO RAMÍREZ GONZÁLEZ
PRI,9,GONZALO ISIDRO SÁNCHEZ PRADO
PVEM,10,CRISPÍN GUTIÉRREZ MORENO
PAN,11,MIRIAM YADIRA LARA ARTEGA
PAN,12,GABRIELA DE LA PAZ SEVILLA BLANCO
PAN,13,MARTHA ALICIA MEZA OREGÓN
PRI,14,JOSÉ LÓPEZ OCHOA
PRI,15,ARTURO GARCIA ARIAS
PRI,16,FLAVIO CASTILLO PALOMINO
PAN,PLURI,BRENDA DEL CARMEN GUTIÉRREZ VEGA
PAN,PLURI,JORGE OCTAVIO IÑIGUEZ LARIOS
PRI,PLURI,IMELDA LINO PEREGRINA
PRI,PLURI,DAVID RODRÍGUEZ BRIZUELA
PRI,PLURI,AURORA ESPÍNDOLA ESCAREÑO
PAN,PLURI,JORGE LUIS PRECIADO RODRÍGUEZ
PRD,PLURI,RENEÉ DÍAZ MENDOZA
PRD,PLURI,ADOLFO NÚÑEZ GONZÁLEZ
PRI,PLURI,LUIS GAITÁN CABRERA
