"partido","MR","PR","legis","year"
"MC",NA,1,"LXI",2013
"PAN",4,6,"LXI",2013
"PAS",NA,3,"LXI",2013
"PNA",1,NA,"LXI",2013
"PRD",NA,2,"LXI",2013
"PRI",19,3,"LXI",2013
"PT",NA,1,"LXI",2013
"Morena",NA,2,"LXII",2016
"PAN",2,5,"LXII",2016
"PAS",NA,6,"LXII",2016
"PNA",1,1,"LXII",2016
"PRD",NA,1,"LXII",2016
"PRI",21,NA,"LXII",2016
"PVEM",NA,1,"LXII",2016
"INDEP",1,NA,"LXIII",2018
"Morena",16,8,"LXIII",2018
"PAN",NA,2,"LXIII",2018
"PAS",NA,1,"LXIII",2018
"PES",1,NA,"LXIII",2018
"PRD",1,NA,"LXIII",2018
"PRI",3,5,"LXIII",2018
"PT",2,NA,"LXIII",2018
