"partido","MR","PR","legis","year"
"PAN",6,5,"LVI",2000
"PRD",NA,2,"LVI",2000
"PRI",9,5,"LVI",2000
"PAN",6,5,"LVII",2003
"PCP",NA,1,"LVII",2003
"PRD",NA,2,"LVII",2003
"PRI",9,3,"LVII",2003
"PVEM",NA,1,"LVII",2003
"PAN",13,2,"LVIII",2006
"PRD",NA,2,"LVIII",2006
"PRI",1,4,"LVIII",2006
"PT",1,1,"LVIII",2006
"PVEM",NA,1,"LVIII",2006
NA,NA,2,"LVIII",2006
"PAN",7,3,"LIX",2009
"PANAL",2,2,"LIX",2009
"PCOP",NA,1,"LIX",2009
"PRD",NA,1,"LIX",2009
"PRI",6,3,"LIX",2009
"PT",NA,1,"LIX",2009
"PVEM",NA,1,"LIX",2009
"CP",NA,1,"LX",2012
"MC",NA,1,"LX",2012
"PAN",4,2,"LX",2012
"PANAL",NA,2,"LX",2012
"PRD",1,1,"LX",2012
"PRI",7,2,"LX",2012
"PT",NA,1,"LX",2012
"PVEM",3,2,"LX",2012
"Conciencia Popular",NA,1,"LXI",2015
"MC",NA,1,"LXI",2015
"MORENA",NA,1,"LXI",2015
"PAN",4,2,"LXI",2015
"PNA",1,NA,"LXI",2015
"PRD",3,1,"LXI",2015
"PRI",6,4,"LXI",2015
"PT",NA,1,"LXI",2015
"PVEM",1,1,"LXI",2015
"CP",NA,1,"LXII",2018
"IND",NA,1,"LXII",2018
"MC",NA,1,"LXII",2018
"Morena",4,2,"LXII",2018
"PAN",4,2,"LXII",2018
"PES",1,NA,"LXII",2018
"PNA",NA,1,"LXII",2018
"PRD",NA,1,"LXII",2018
"PRI",3,2,"LXII",2018
"PT",2,NA,"LXII",2018
