"partido","MR","PR","legis","year"
"PAN",2,5,"LVIII",2001
"PRD",NA,3,"LVIII",2001
"PRI",16,3,"LVIII",2001
"PT",1,2,"LVIII",2001
"PAN",1,8,"LIX",2005
"PRI",18,1,"LIX",2005
"PT",NA,2,"LIX",2005
"UT",NA,2,"LIX",2005
"PAN",NA,8,"LX",2008
"PNA",1,NA,"LX",2008
"PRD",NA,2,"LX",2008
"PRI",17,2,"LX",2008
"PT",NA,1,"LX",2008
"PVEM",1,NA,"LX",2008
"PAN",NA,6,"LXI",2010
"PANAL",2,1,"LXI",2010
"PRD",NA,1,"LXI",2010
"PRI",18,4,"LXI",2010
"PT",NA,1,"LXI",2010
"PVEM",2,1,"LXI",2010
"Indep",NA,1,"LXII",2013
"PAN",NA,4,"LXII",2013
"PANAL",2,1,"LXII",2013
"PRD",NA,1,"LXII",2013
"PRI",16,6,"LXII",2013
"PT",NA,1,"LXII",2013
"PVEM",2,1,"LXII",2013
"INDEP",1,1,"LXIII",2016
"PAN",5,4,"LXIII",2016
"PNA",2,1,"LXIII",2016
"PRD",NA,1,"LXIII",2016
"PRI",14,5,"LXIII",2016
"PT",NA,1,"LXIII",2016
"PVEM",NA,1,"LXIII",2016
